GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,
1,2025-10-08,7:30 PM,@,Washington Capitals,3,1,W,,1,0,0,W 1,18347,2:35,
2,2025-10-09,7:00 PM,,Chicago Blackhawks,4,3,W,OT,2,0,0,W 2,17850,2:45,
3,2025-10-11,7:00 PM,,Buffalo Sabres,3,1,W,,3,0,0,W 3,17850,2:31,
4,2025-10-13,1:00 PM,,Tampa Bay Lightning,3,4,L,,3,1,0,L 1,17850,2:37,
5,2025-10-16,10:00 PM,@,Vegas Golden Knights,5,6,L,,3,2,0,L 2,17927,2:48,
6,2025-10-18,9:00 PM,@,Colorado Avalanche,1,4,L,,3,3,0,L 3,18131,2:37,
7,2025-10-19,7:00 PM,@,Utah Mammoth,2,3,L,,3,4,0,L 4,12478,2:33,
8,2025-10-21,7:30 PM,,Florida Panthers,3,4,L,,3,5,0,L 5,17850,2:43,
9,2025-10-23,7:00 PM,,Anaheim Ducks,5,7,L,,3,6,0,L 6,17850,2:39,
10,2025-10-25,3:00 PM,,Colorado Avalanche,3,2,W,,4,6,0,W 1,17850,2:28,
11,2025-10-27,7:30 PM,@,Ottawa Senators,2,7,L,,4,7,0,L 1,16168,2:35,
12,2025-10-28,7:15 PM,,New York Islanders,5,2,W,,5,7,0,W 1,17850,2:23,
13,2025-10-30,7:00 PM,,Buffalo Sabres,4,3,W,OT,6,7,0,W 2,17850,2:43,
14,2025-11-01,1:00 PM,,Carolina Hurricanes,2,1,W,,7,7,0,W 3,17850,2:14,
15,2025-11-04,7:00 PM,@,New York Islanders,4,3,W,SO,8,7,0,W 4,15585,2:41,
16,2025-11-06,7:00 PM,,Ottawa Senators,3,2,W,OT,9,7,0,W 5,17850,2:38,
17,2025-11-08,7:00 PM,@,Toronto Maple Leafs,5,3,W,,10,7,0,W 6,18955,2:46,
18,2025-11-11,7:00 PM,,Toronto Maple Leafs,5,3,W,,11,7,0,W 7,17850,2:39,
19,2025-11-13,7:00 PM,@,Ottawa Senators,3,5,L,,11,8,0,L 1,16049,2:23,
20,2025-11-15,7:00 PM,@,Montreal Canadiens,3,2,W,,12,8,0,W 1,20962,2:36,
21,2025-11-17,7:00 PM,,Carolina Hurricanes,1,3,L,,12,9,0,L 1,17850,2:38,
22,2025-11-19,10:00 PM,@,Anaheim Ducks,3,4,L,,12,10,0,L 2,14067,2:34,
23,2025-11-21,10:30 PM,@,Los Angeles Kings,2,1,W,OT,13,10,0,W 1,18145,2:34,
24,2025-11-23,8:00 PM,@,San Jose Sharks,1,3,L,,13,11,0,L 1,17435,2:30,
25,2025-11-26,7:00 PM,@,New York Islanders,3,1,W,,14,11,0,W 1,17255,2:23,
26,2025-11-28,1:00 PM,,New York Rangers,2,6,L,,14,12,0,L 1,17850,2:29,
27,2025-11-29,7:00 PM,,Detroit Red Wings,3,2,W,SO,15,12,0,W 1,17850,2:41,
28,2025-12-02,7:00 PM,@,Detroit Red Wings,4,5,L,,15,13,0,L 1,18803,2:32,
29,2025-12-04,7:00 PM,,St. Louis Blues,5,2,W,,16,13,0,W 1,17850,2:26,
30,2025-12-06,7:00 PM,,New Jersey Devils,4,1,W,,17,13,0,W 2,17850,2:25,
31,2025-12-09,8:00 PM,@,St. Louis Blues,5,2,W,,18,13,0,W 3,18096,2:31,
32,2025-12-11,8:00 PM,@,Winnipeg Jets,6,3,W,,19,13,0,W 4,13158,2:25,
33,2025-12-14,6:00 PM,@,Minnesota Wild,2,6,L,,19,14,0,L 1,18322,2:34,
34,2025-12-16,7:00 PM,,Utah Mammoth,4,1,W,,20,14,0,W 1,17850,2:32,
