Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,
1,David Pastrňák,29,RW,77,29,71,100,4,72,19,10,0,4,48,23,0,261,11.1,562,1590:29,20:39,2,7,22.2,32,86,32,134,,pastrda01
2,Morgan Geekie,27,C,81,39,29,68,-5,22,27,12,0,6,17,12,0,181,21.5,355,1409:52,17:24,73,87,45.6,34,110,20,78,,geekimo01
3,Pavel Zacha,28,C,78,30,35,65,4,28,19,11,0,4,24,11,0,131,22.9,233,1314:00,16:51,524,459,53.3,26,64,18,61,,zachapa01
4,Charlie McAvoy,28,D,69,11,50,61,13,62,9,2,0,1,29,21,0,111,9.9,271,1682:52,24:23,0,0,,129,79,29,88,,mcavoch01
5,Viktor Arvidsson,32,LW,69,25,29,54,20,24,21,4,0,6,24,5,0,174,14.4,358,1007:20,14:36,7,7,50.0,36,24,15,58,,arvidvi01
6,Elias Lindholm,31,C,69,17,31,48,-7,38,10,7,0,3,18,13,0,114,14.9,260,1233:53,17:53,660,517,56.1,59,41,17,52,,lindhel01
7,Casey Mittelstadt,27,C,71,15,27,42,12,12,13,2,0,2,22,5,0,79,19.0,160,1076:32,15:10,91,95,48.9,21,23,12,74,,mitteca01
8,Fraser Minten,21,C,82,17,18,35,21,20,16,1,0,2,15,2,1,117,14.5,231,1275:11,15:33,414,425,49.3,51,142,27,40,,mintefr01
9,Marat Khusnutdinov,23,C,77,15,18,33,12,16,15,0,0,1,17,1,0,78,19.2,147,1116:31,14:30,56,64,46.7,39,42,21,47,,khusnma01
10,Mason Lohrei,25,D,73,7,19,26,17,20,5,2,0,0,16,3,0,73,9.6,200,1234:05,16:54,0,0,,92,30,20,93,,lohrema01
11,Hampus Lindholm,32,D,67,5,21,26,3,58,4,1,0,2,18,3,0,100,5.0,248,1448:45,21:37,0,0,,103,12,25,80,,lindhha01
12,Nikita Zadorov,30,D,81,2,20,22,18,152,2,0,0,1,20,0,0,107,1.9,263,1691:24,20:53,0,0,,102,196,33,94,,zadorni01
13,Sean Kuraly,33,C,82,6,16,22,0,41,6,0,0,1,16,0,0,110,5.5,198,1093:00,13:20,338,324,51.1,47,87,18,57,,kuralse01
14,Tanner Jeannot,28,F,77,6,16,22,-4,66,6,0,0,1,15,1,0,78,7.7,182,973:30,12:39,8,10,44.4,58,239,7,44,,jeannta01
15,Mark Kastelic,26,C,82,12,10,22,5,140,11,0,1,4,9,1,0,100,12.0,219,1034:55,12:37,343,221,60.8,64,215,30,42,,kastema01
16,Michael Eyssimont,29,C,56,8,10,18,-3,31,7,1,0,1,7,3,0,109,7.3,193,610:56,10:55,3,3,50.0,21,54,4,37,,eyssimi01
17,Alex Steeves,26,F,43,9,7,16,6,34,7,1,1,0,5,2,0,55,16.4,109,512:54,11:56,3,4,42.9,26,144,9,23,,steeval02
18,Henri Jokiharju,26,D,41,2,13,15,2,14,2,0,0,1,11,2,0,40,5.0,109,729:59,17:48,0,0,,37,27,6,48,,jokihhe01
19,Andrew Peeke,27,D,77,5,9,14,-12,22,5,0,0,0,9,0,0,82,6.1,211,1492:41,19:23,0,0,,135,105,10,59,,peekean01
20,Jonathan Aspirot,26,D,61,3,10,13,30,43,3,0,0,0,9,1,0,47,6.4,129,1021:08,16:44,0,0,,83,86,10,56,,aspirjo01
21,Jordan Harris,25,D,8,1,2,3,0,0,1,0,0,0,2,0,0,12,8.3,19,127:11,15:54,0,0,,5,5,1,6,,harrijo01
22,Lukas Reichel,23,LW,10,1,2,3,2,0,1,0,0,1,2,0,0,9,11.1,16,128:12,12:49,0,0,,5,2,3,7,,reichlu01
23,James Hagens,19,C,2,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,5,29:06,14:33,1,0,100.0,0,1,3,3,,hagenja01
24,Riley Tufte,27,LW,4,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,8,46:41,11:40,0,0,,1,7,0,1,,tufteri01
25,John Beecher,24,C,6,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,10,62:26,10:24,0,3,0.0,4,7,0,1,,beechjo01
26,Matthew Poitras,21,C,3,1,0,1,1,4,1,0,0,0,0,0,0,8,12.5,8,36:21,12:07,7,11,38.9,2,0,0,1,,poitrma01
27,Victor Söderström,24,D,8,0,1,1,3,0,0,0,0,0,1,0,0,8,0.0,15,109:25,13:41,0,0,,10,1,2,11,,sodervi01
28,Jeffrey Viel,29,F,10,0,0,0,-1,30,0,0,0,0,0,0,0,11,0.0,21,95:03,9:30,1,1,50.0,4,27,1,2,,vielje01
29,Jeremy Swayman,27,G,55,0,0,0,0,11,0,0,0,0,0,0,0,0,,1,3235:17,58:49,0,0,,0,0,0,25,,swaymje01
30,Matěj Blümel,25,RW,4,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,10,43:28,10:52,0,1,0.0,2,2,0,3,,blumema01
31,Michael Callahan,26,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,4,64:57,12:59,0,0,,9,3,2,3,,callami02
32,Michael DiPietro,26,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6:03,6:03,0,0,,0,0,0,1,,dipiemi01
33,Georgii Merkulov,25,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,10:35,10:35,0,0,,0,0,0,0,,merkuge01
34,Joonas Korpisalo,31,G,31,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1713:05,55:16,0,0,,0,0,0,12,,korpijo01
35,Vladislav Kolyachonok,24,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,5,24:11,12:06,0,0,,3,0,1,3,,kolyavl01
,Team Totals,,,1563,268,465,733,134,964,211,55,2,41,355,109,1,2216,12.1,4761,29281:58,18:44,2531,2239,53.1,1240,1861,376,1344,,
