Year,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,Division,Conference
2025,NHL,Boston Bruins*,82,45,27,,10,100,.610,0.31,0.04,4th of 8,Playing NHL First Round,M. Sturm (45-27-10),Atlantic,Eastern
2024,NHL,Boston Bruins,82,33,39,,10,76,.463,-0.57,0.04,8th of 8,,J. Montgomery (8-9-3) J. Sacco (25-30-7),Atlantic,Eastern
2023,NHL,Boston Bruins*,82,47,20,,15,109,.665,0.53,0.01,2nd of 8,Lost NHL Second Round,J. Montgomery (47-20-15),Atlantic,Eastern
2022,NHL,Boston Bruins*,82,65,12,,5,135,.823,1.54,-0.02,1st of 8,Lost NHL First Round,J. Montgomery (65-12-5),Atlantic,Eastern
2021,NHL,Boston Bruins*,82,51,26,,5,107,.652,0.38,-0.05,4th of 8,Lost NHL First Round,B. Cassidy (51-26-5),Atlantic,Eastern
2020,NHL,Boston Bruins*,56,33,16,,7,73,.652,0.50,-0.07,3rd of 8,Lost NHL Second Round,B. Cassidy (33-16-7),East,
2019,NHL,Boston Bruins*,70,44,14,,12,100,.714,0.74,-0.02,1st of 8,Lost NHL Second Round,B. Cassidy (44-14-12),Atlantic,Eastern
2018,NHL,Boston Bruins*,82,49,24,,9,107,.652,0.52,-0.01,2nd of 8,Lost Stanley Cup Final,B. Cassidy (49-24-9),Atlantic,Eastern
2017,NHL,Boston Bruins*,82,50,20,,12,112,.683,0.62,-0.07,2nd of 8,Lost NHL Second Round,B. Cassidy (50-20-12),Atlantic,Eastern
2016,NHL,Boston Bruins*,82,44,31,,7,95,.579,0.27,0.00,3rd of 8,Lost NHL First Round,C. Julien (26-23-6) B. Cassidy (18-8-1),Atlantic,Eastern
2015,NHL,Boston Bruins,82,42,31,,9,93,.567,0.11,-0.02,4th of 8,,C. Julien (42-31-9),Atlantic,Eastern
2014,NHL,Boston Bruins,82,41,27,,14,96,.585,0.01,-0.01,5th of 8,,C. Julien (41-27-14),Atlantic,Eastern
2013,NHL,Boston Bruins*,82,54,19,,9,117,.713,0.92,-0.11,1st of 8,Lost NHL Second Round,C. Julien (54-19-9),Atlantic,Eastern
2012,NHL,Boston Bruins*,48,28,14,,6,62,.646,0.44,-0.02,2nd of 5,Lost Stanley Cup Final,C. Julien (28-14-6),Northeast,Eastern
2011,NHL,Boston Bruins*,82,49,29,,4,102,.622,0.75,-0.07,1st of 5,Lost NHL Conference Quarter-Finals,C. Julien (49-29-4),Northeast,Eastern
2010,NHL,Boston Bruins*,82,46,25,,11,103,.628,0.56,-0.07,1st of 5,Won Stanley Cup Final,C. Julien (46-25-11),Northeast,Eastern
2009,NHL,Boston Bruins*,82,39,30,,13,91,.555,0.01,-0.06,3rd of 5,Lost NHL Conference Semi-Finals,C. Julien (39-30-13),Northeast,Eastern
2008,NHL,Boston Bruins*,82,53,19,,10,116,.707,0.89,-0.06,1st of 5,Lost NHL Conference Semi-Finals,C. Julien (53-19-10),Northeast,Eastern
2007,NHL,Boston Bruins*,82,41,29,,12,94,.573,-0.20,-0.08,3rd of 5,Lost NHL Conference Quarter-Finals,C. Julien (41-29-12),Northeast,Eastern
2006,NHL,Boston Bruins,82,35,41,,6,76,.463,-0.87,-0.01,5th of 5,,D. Lewis (35-41-6),Northeast,Eastern
2005,NHL,Boston Bruins,82,29,37,,16,74,.451,-0.36,0.08,5th of 5,,M. Sullivan (29-37-16),Northeast,Eastern
2003,NHL,Boston Bruins*,82,41,19,15,7,104,.634,0.29,0.03,1st of 5,Lost NHL Conference Quarter-Finals,M. Sullivan (41-19-15-7),Northeast,Eastern
2002,NHL,Boston Bruins*,82,36,31,11,4,87,.530,0.02,-0.08,3rd of 5,Lost NHL Conference Quarter-Finals,R. Ftorek (33-28-8-4) M. O'Connell (3-3-3-0),Northeast,Eastern
2001,NHL,Boston Bruins*,82,43,24,6,9,101,.616,0.33,-0.09,1st of 5,Lost NHL Conference Quarter-Finals,R. Ftorek (43-24-6-9),Northeast,Eastern
2000,NHL,Boston Bruins,82,36,30,8,8,88,.537,-0.27,0.00,4th of 5,,P. Burns (3-4-1-0) M. Keenan (33-26-7-8),Northeast,Eastern
1999,NHL,Boston Bruins,82,24,33,19,6,73,.445,-0.52,-0.06,5th of 5,,P. Burns (24-33-19-6),Northeast,Eastern
1998,NHL,Boston Bruins*,82,39,30,13,,91,.555,0.40,0.00,3rd of 5,Lost NHL Conference Semi-Finals,P. Burns (39-30-13),Northeast,Eastern
1997,NHL,Boston Bruins*,82,39,30,13,,91,.555,0.33,0.00,2nd of 6,Lost NHL Conference Quarter-Finals,P. Burns (39-30-13),Northeast,Eastern
1996,NHL,Boston Bruins,82,26,47,9,,61,.372,-0.78,0.02,6th of 6,,S. Kasper (26-47-9),Northeast,Eastern
1995,NHL,Boston Bruins*,82,40,31,11,,91,.555,0.17,0.01,2nd of 6,Lost NHL Conference Quarter-Finals,S. Kasper (40-31-11),Northeast,Eastern
1994,NHL,Boston Bruins*,48,27,18,3,,57,.594,0.46,-0.02,3rd of 7,Lost NHL Conference Quarter-Finals,B. Sutter (27-18-3),Northeast,Eastern
1993,NHL,Boston Bruins*,84,42,29,13,,97,.577,0.41,-0.03,2nd of 7,Lost NHL Conference Semi-Finals,B. Sutter (42-29-13),Northeast,Eastern
1992,NHL,Boston Bruins*,84,51,26,7,,109,.649,0.74,-0.03,1st of 6,Lost NHL Division Semi-Finals,B. Sutter (51-26-7),Adams,Prince of Wales
1991,NHL,Boston Bruins*,80,36,32,12,,84,.525,-0.09,-0.03,2nd of 5,Lost NHL Conference Finals,R. Bowness (36-32-12),Adams,Prince of Wales
1990,NHL,Boston Bruins*,80,44,24,12,,100,.625,0.32,-0.12,1st of 5,Lost NHL Conference Finals,M. Milbury (44-24-12),Adams,Prince of Wales
1989,NHL,Boston Bruins*,80,46,25,9,,101,.631,0.64,-0.08,1st of 5,Lost Stanley Cup Final,M. Milbury (46-25-9),Adams,Prince of Wales
1988,NHL,Boston Bruins*,80,37,29,14,,88,.550,0.43,0.02,2nd of 5,Lost NHL Division Finals,T. O'Reilly (37-29-14),Adams,Prince of Wales
1987,NHL,Boston Bruins*,80,44,30,6,,94,.588,0.59,-0.03,2nd of 5,Lost Stanley Cup Final,T. O'Reilly (44-30-6),Adams,Prince of Wales
1986,NHL,Boston Bruins*,80,39,34,7,,85,.531,0.32,0.01,3rd of 5,Lost NHL Division Semi-Finals,B. Goring (5-7-1) T. O'Reilly (34-27-6),Adams,Prince of Wales
1985,NHL,Boston Bruins*,80,37,31,12,,86,.538,0.40,0.11,3rd of 5,Lost NHL Division Semi-Finals,B. Goring (37-31-12),Adams,Prince of Wales
1984,NHL,Boston Bruins*,80,36,34,10,,82,.513,0.29,0.09,4th of 5,Lost NHL Division Semi-Finals,G. Cheevers (25-24-7) H. Sinden (11-10-3),Adams,Prince of Wales
1983,NHL,Boston Bruins*,80,49,25,6,,104,.650,1.01,0.07,1st of 5,Lost NHL Division Semi-Finals,G. Cheevers (49-25-6),Adams,Prince of Wales
1982,NHL,Boston Bruins*,80,50,20,10,,110,.688,1.18,-0.06,1st of 5,Lost NHL Conference Finals,G. Cheevers (50-20-10),Adams,Prince of Wales
1981,NHL,Boston Bruins*,80,43,27,10,,96,.600,0.55,0.08,2nd of 5,Lost NHL Division Finals,G. Cheevers (43-27-10),Adams,Prince of Wales
1980,NHL,Boston Bruins*,80,37,30,13,,87,.544,0.52,-0.03,2nd of 5,Lost NHL Preliminary Round,G. Cheevers (37-30-13),Adams,Prince of Wales
1979,NHL,Boston Bruins*,80,46,21,13,,105,.656,0.91,-0.05,2nd of 5,Lost NHL Quarter-Finals,F. Creighton (40-20-13) H. Sinden (6-1-0),Adams,Prince of Wales
1978,NHL,Boston Bruins*,80,43,23,14,,100,.625,0.57,0.00,1st of 4,Lost NHL Semi-Finals,D. Cherry (43-23-14),Adams,Prince of Wales
1977,NHL,Boston Bruins*,80,51,18,11,,113,.706,1.37,-0.07,1st of 4,Lost Stanley Cup Final,D. Cherry (51-18-11),Adams,Prince of Wales
1976,NHL,Boston Bruins*,80,49,23,8,,106,.663,0.87,-0.03,1st of 4,Lost Stanley Cup Final,D. Cherry (49-23-8),Adams,Prince of Wales
1975,NHL,Boston Bruins*,80,48,15,17,,113,.706,0.93,-0.02,1st of 4,Lost NHL Semi-Finals,D. Cherry (48-15-17),Adams,Prince of Wales
1974,NHL,Boston Bruins*,80,40,26,14,,94,.588,1.18,-0.07,2nd of 4,Lost NHL Preliminary Round,D. Cherry (40-26-14),Adams,Prince of Wales
1973,NHL,Boston Bruins*,78,52,17,9,,113,.724,1.55,-0.09,1st of 8,Lost Stanley Cup Final,B. Guidolin (52-17-9),East,
1972,NHL,Boston Bruins*,78,51,22,5,,107,.686,1.14,-0.08,2nd of 8,Lost NHL Quarter-Finals,T. Johnson (31-16-5) B. Guidolin (20-6-0),East,
1971,NHL,Boston Bruins*,78,54,13,11,,119,.763,1.50,-0.12,1st of 7,Won Stanley Cup Final,T. Johnson (54-13-11),East,
1970,NHL,Boston Bruins*,78,57,14,7,,121,.776,2.29,-0.18,1st of 7,Lost NHL Quarter-Finals,T. Johnson (57-14-7),East,
1969,NHL,Boston Bruins*,76,40,17,19,,99,.651,0.81,0.01,2nd of 6,Won Stanley Cup Final,H. Sinden (40-17-19),East,
1968,NHL,Boston Bruins*,76,42,18,16,,100,.658,1.06,-0.02,2nd of 6,Lost NHL Semi-Finals,H. Sinden (42-18-16),East,
1967,NHL,Boston Bruins*,74,37,27,10,,84,.568,0.76,0.18,3rd of 6,Lost NHL Quarter-Finals,H. Sinden (37-27-10),East,
1966,NHL,Boston Bruins,70,17,43,10,,44,.314,-0.85,0.17,6th of 6,,H. Sinden (17-43-10),,
1965,NHL,Boston Bruins,70,21,43,6,,48,.343,-1.20,0.24,5th of 6,,M. Schmidt (21-43-6),,
1964,NHL,Boston Bruins,70,21,43,6,,48,.343,-1.04,0.21,6th of 6,,M. Schmidt (21-43-6),,
1963,NHL,Boston Bruins,70,18,40,12,,48,.343,-0.50,0.10,6th of 6,,M. Schmidt (18-40-12),,
1962,NHL,Boston Bruins,70,14,39,17,,45,.321,-0.99,0.20,6th of 6,,P. Watson (1-8-5) M. Schmidt (13-31-12),,
1961,NHL,Boston Bruins,70,15,47,8,,38,.271,-1.54,0.31,6th of 6,,P. Watson (15-47-8),,
1960,NHL,Boston Bruins,70,15,42,13,,43,.307,-0.93,0.19,6th of 6,,M. Schmidt (15-42-13),,
