No.,Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Draft,Player-additional
71,Viktor Arvidsson,se SE,F,32,5-10,181,R/-,11,April 8 1993,25 G 29 A 54 P,2014 NSH 4th (112),arvidvi01
45,Jonathan Aspirot,ca CA,D,26,6-0,212,L/-,R,May 16 1999,3 G 10 A 13 P,,aspirjo01
81,Michael Eyssimont,us US,F,29,6-0,195,L/-,4,September 9 1996,8 G 10 A 18 P,2016 LAK 5th (142),eyssimi01
39,Morgan Geekie,ca CA,F,27,6-3,212,R/-,6,July 20 1998,39 G 29 A 68 P,2017 CAR 3rd (67),geekimo01
44,James Hagens,us US,F,19,5-11,177,L/-,R,November 3 2006,0 G 1 A 1 P,2025 BOS 1st (7),hagenja01
43,Jordan Harris,us US,D,25,6-0,189,L/-,4,July 7 2000,1 G 2 A 3 P,2018 MTL 3rd (71),harrijo01
84,Tanner Jeannot,ca CA,F,28,6-2,221,L/-,5,May 29 1997,6 G 16 A 22 P,,jeannta01
20,Henri Jokiharju,fi FI,D,26,6-0,205,R/-,7,June 17 1999,2 G 13 A 15 P,2017 CHI 1st (29),jokihhe01
47,Mark Kastelic,us US,F,26,6-4,234,R/-,4,March 11 1999,12 G 10 A 22 P,2019 OTT 5th (125),kastema01
92,Marat Khusnutdinov,ru RU,F,23,5-11,184,L/-,2,July 17 2002,15 G 18 A 33 P,2020 MIN 2nd (37),khusnma01
70,Joonas Korpisalo,fi FI,G,31,6-4,200,-/L,10,April 28 1994,14-9-6 3.15 GAA,2012 CBJ 3rd (62),korpijo01
52,Sean Kuraly,us US,F,33,6-2,208,L/-,9,January 20 1993,6 G 16 A 22 P,2011 SJS 5th (133),kuralse01
28,Elias Lindholm,se SE,F,31,6-1,200,R/-,12,December 2 1994,17 G 31 A 48 P,2013 CAR 1st (5),lindhel01
27,Hampus Lindholm,se SE,D,32,6-4,217,L/-,12,January 20 1994,5 G 21 A 26 P,2012 ANA 1st (6),lindhha01
6,Mason Lohrei,us US,D,25,6-5,218,L/-,2,January 17 2001,7 G 19 A 26 P,2020 BOS 2nd (58),lohrema01
73,Charlie McAvoy,us US,D,28,6-1,211,R/-,8,December 21 1997,11 G 50 A 61 P,2016 BOS 1st (14),mcavoch01
93,Fraser Minten,ca CA,F,21,6-2,204,L/-,2,July 5 2004,17 G 18 A 35 P,2022 TOR 2nd (38),mintefr01
11,Casey Mittelstadt,us US,F,27,6-1,205,L/-,8,November 22 1998,15 G 27 A 42 P,2017 BUF 1st (8),mitteca01
88,David Pastrnak,cz CZ,F,29,6-0,199,R/-,11,May 25 1996,29 G 71 A 100 P,2014 BOS 1st (25),pastrda01
26,Andrew Peeke,us US,D,27,6-3,214,R/-,6,March 17 1998,5 G 9 A 14 P,2016 CBJ 2nd (34),peekean01
21,Alex Steeves,us US,F,26,6-0,199,L/-,4,December 10 1999,9 G 7 A 16 P,,steeval02
1,Jeremy Swayman,us US,G,27,6-3,195,-/L,5,November 24 1998,31-18-4 2.71 GAA,2017 BOS 4th (111),swaymje01
18,Pavel Zacha,cz CZ,F,28,6-4,211,L/-,10,April 6 1997,30 G 35 A 65 P,2015 NJD 1st (6),zachapa01
91,Nikita Zadorov,ru RU,D,30,6-7,255,L/-,12,April 16 1995,2 G 20 A 22 P,2013 BUF 1st (16),zadorni01
85,Simon Zajicek,cz CZ,G,24,6-2,187,-/L,R,June 25 2001,,,zajicsi01
