,,,,,,Even Strength,,,,,Power Play,,,,,Short Handed,,,,-additional
Rk,Player,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
1,Alex Steeves,F,0:38,43,,10:33,1.6,2.9,2.2,,0:52,5.8,9.5,0.0,,0:29,2.0,2.8,11.3,steeval02
2,Andrew Peeke,D,0:48,77,,16:58,-2.4,1.9,2.5,,0:02,13.8,0.0,0.0,,2:22,-1.2,0.3,9.5,peekean01
3,Casey Mittelstadt,C,1:03,71,,13:26,1.2,3.8,3.0,,1:42,4.9,5.9,1.0,,0:00,-11.6,0.0,0.0,mitteca01
4,Charlie McAvoy,D,0:52,69,,18:30,-0.1,3.9,3.1,,3:04,-4.4,11.1,1.7,,2:48,-0.9,0.3,8.7,mcavoch01
5,David Pastrňák,RW,0:53,77,,16:58,-0.2,3.7,3.1,,3:38,-4.8,9.8,1.7,,0:02,-11.6,0.0,19.5,pastrda01
6,Elias Lindholm,C,0:47,69,,14:10,-2.5,3.1,3.4,,2:44,-4.5,10.5,1.0,,0:57,-0.8,0.0,7.2,lindhel01
7,Fraser Minten,C,0:49,82,,13:01,1.9,2.9,1.7,,0:58,-1.6,4.5,1.5,,1:33,5.4,0.9,8.0,mintefr01
8,Georgii Merkulov,F,1:02,1,,10:35,-5.0,0.0,5.7,,0:00,,,,,0:00,,,,merkuge01
9,Hampus Lindholm,D,0:53,67,,17:29,2.2,2.9,2.7,,1:25,3.3,6.3,0.6,,2:42,-2.1,0.0,6.9,lindhha01
10,Henri Jokiharju,D,0:51,41,,16:18,2.3,3.2,3.1,,0:35,1.8,5.0,0.0,,0:54,-1.1,0.0,6.4,jokihhe01
11,James Hagens,C,0:40,2,,14:33,3.5,2.1,0.0,,0:00,,,,,0:00,,,,hagenja01
12,Jeffrey Viel,F,0:37,10,,9:24,2.9,1.9,2.6,,0:00,,,,,0:06,-9.0,0.0,0.0,vielje01
13,John Beecher,C,0:35,6,,8:58,-5.5,1.1,2.2,,0:03,,0.0,0.0,,1:22,-7.0,0.0,0.0,beechjo01
14,Jonathan Aspirot,D,0:39,61,,15:36,-0.1,3.7,1.9,,0:01,15.0,44.4,0.0,,1:06,5.3,1.8,7.1,aspirjo01
15,Jordan Harris,D,0:45,8,,14:17,5.3,2.1,2.1,,0:03,,0.0,0.0,,1:32,21.6,0.0,9.7,harrijo01
16,Lukas Reichel,LW,0:53,10,,11:58,1.6,3.0,1.5,,0:50,-6.8,0.0,7.2,,0:00,,0.0,0.0,reichlu01
17,Marat Khusnutdinov,C,0:43,77,,12:50,-1.4,3.2,2.4,,0:37,7.0,3.7,0.0,,1:02,-2.4,0.0,9.8,khusnma01
18,Mark Kastelic,C,0:43,82,,10:29,-1.7,2.2,1.9,,0:04,-6.4,10.4,10.4,,2:03,0.4,0.4,9.6,kastema01
19,Mason Lohrei,D,0:37,73,,15:24,-1.2,2.7,1.7,,1:21,3.0,4.8,0.6,,0:08,5.1,0.0,12.0,lohrema01
20,Matěj Blümel,RW,0:54,4,,9:22,1.6,0.0,3.2,,1:30,-9.7,30.0,10.0,,0:00,,,,blumema01
21,Matthew Poitras,C,0:41,3,,11:21,6.8,1.8,0.0,,0:45,-4.2,0.0,0.0,,0:00,,,,poitrma01
22,Michael Callahan,D,0:31,5,,11:43,9.3,3.1,4.1,,0:01,,0.0,0.0,,1:14,7.7,0.0,9.6,callami02
23,Michael Eyssimont,C,0:59,56,,10:12,3.7,2.2,2.5,,0:39,5.3,6.5,0.0,,0:02,-11.0,0.0,0.0,eyssimi01
24,Morgan Geekie,C,0:53,81,,14:24,0.6,3.1,2.9,,2:59,-5.2,10.4,2.0,,0:00,,0.0,0.0,geekimo01
25,Nikita Zadorov,D,0:40,81,,18:09,-1.1,2.9,2.2,,0:04,-4.6,9.5,0.0,,2:38,0.5,0.0,9.0,zadorni01
26,Pavel Zacha,C,0:55,78,,13:01,-0.7,3.8,3.3,,2:56,0.1,10.5,1.6,,0:53,-4.8,0.0,6.9,zachapa01
27,Riley Tufte,LW,0:47,4,,10:23,-7.1,0.0,1.4,,1:17,13.0,11.7,0.0,,0:00,,,,tufteri01
28,Sean Kuraly,C,0:36,82,,10:33,1.1,2.3,2.3,,0:02,-6.4,0.0,0.0,,2:43,-0.9,0.0,8.3,kuralse01
29,Tanner Jeannot,F,0:49,77,,11:12,-0.2,2.0,2.3,,0:04,-6.1,10.1,0.0,,1:21,3.8,0.0,6.3,jeannta01
30,Victor Söderström,D,0:50,8,,13:34,-9.5,3.3,1.7,,0:03,10.9,0.0,0.0,,0:02,-10.7,0.0,0.0,sodervi01
31,Viktor Arvidsson,LW,0:54,69,,12:37,0.6,4.1,2.3,,1:58,5.1,7.5,2.2,,0:00,-12.0,0.0,0.0,arvidvi01
32,Vladislav Kolyachonok,D,0:35,2,,12:04,-13.5,0.0,2.5,,0:00,,,,,0:01,,0.0,0.0,kolyavl01
